g1,"rgb(166, 171, 211)"
lpbragancabr,"rgb(69, 181, 140)"
PastorMalafaia,"rgb(111, 180, 180)"
LeoJaime,"rgb(180, 163, 197)"
samiabomfim,"rgb(226, 134, 153)"
anterogreco,"rgb(188, 158, 190)"
observatorio,"rgb(191, 156, 186)"
fab_oficial,"rgb(105, 180, 174)"
MonicaWaldvogel,"rgb(163, 173, 213)"
MBLivre,"rgb(99, 180, 168)"
Ancelmocom,"rgb(171, 168, 206)"
catracalivre,"rgb(190, 157, 188)"
LaerteCoutinho1,"rgb(229, 132, 150)"
DefesaGovBr,"rgb(120, 179, 188)"
benebarbosa_mvb,"rgb(65, 181, 136)"
arthurmoledoval,"rgb(88, 180, 157)"
Biakicis,"rgb(75, 181, 146)"
FlavioDino,"rgb(221, 137, 158)"
marmilbr,"rgb(105, 180, 174)"
MinEconomia,"rgb(126, 179, 194)"
JornaldoBrasil,"rgb(172, 168, 205)"
GFiuza_Oficial,"rgb(75, 181, 145)"
esuplicy,"rgb(217, 140, 161)"
LeoLins,"rgb(118, 179, 186)"
tabataamaralsp,"rgb(187, 158, 190)"
demori,"rgb(223, 136, 156)"
jnflesch,"rgb(212, 143, 166)"
VillaMarcovilla,"rgb(128, 179, 195)"
mariana_godoy,"rgb(174, 166, 202)"
allantercalivre,"rgb(67, 181, 138)"
Astro_Pontes,"rgb(83, 181, 153)"
opropriolavo,"rgb(78, 181, 148)"
jairmearrependi,"rgb(225, 135, 154)"
caetanoveloso,"rgb(205, 148, 174)"
rsallesmma,"rgb(77, 181, 147)"
astridfontenell,"rgb(184, 160, 193)"
bernardopkuster,"rgb(65, 181, 136)"
ptbrasil,"rgb(213, 142, 166)"
Rconstantino,"rgb(86, 180, 155)"
gleisi,"rgb(205, 147, 173)"
J_LIVRES,"rgb(228, 133, 152)"
taliriapetrone,"rgb(231, 131, 148)"
filgmartin,"rgb(68, 181, 139)"
DatenaOficial,"rgb(145, 178, 212)"
ArthurWeint,"rgb(72, 181, 143)"
GauchaZH,"rgb(168, 170, 208)"
euleodias,"rgb(147, 178, 213)"
leandroruschel,"rgb(68, 181, 139)"
chicobarney,"rgb(197, 152, 181)"
lf_ponde,"rgb(108, 180, 177)"
mcbretas,"rgb(87, 180, 157)"
GeracaodeValor,"rgb(107, 180, 176)"
EstadaoPolitica,"rgb(166, 171, 210)"
geraldoalckmin,"rgb(155, 178, 221)"
AlfinetePeixoto,"rgb(154, 178, 220)"
