g1,"rgb(166, 171, 211)"
bibonunes1,"rgb(69, 181, 140)"
manubarem,"rgb(222, 137, 157)"
danilo_sanches,"rgb(209, 145, 169)"
fiscaldoibama,"rgb(222, 137, 157)"
anarcobs,"rgb(237, 128, 143)"
_rodrigomattos_,"rgb(160, 175, 216)"
renancalheiros,"rgb(177, 165, 200)"
tavasconcellos,"rgb(184, 160, 193)"
florestanjr,"rgb(231, 131, 148)"
cronai,"rgb(177, 165, 200)"
mctic,"rgb(131, 179, 199)"
acmneto_,"rgb(161, 174, 215)"
kellymatos,"rgb(167, 171, 210)"
DigitalGovBr,"rgb(155, 178, 221)"
torturra,"rgb(230, 132, 150)"
professorLFG,"rgb(153, 178, 219)"
viniciuscfp82,"rgb(62, 181, 133)"
jovensreacinhas,"rgb(234, 130, 146)"
redebrasilatual,"rgb(227, 134, 153)"
pirescarol,"rgb(215, 141, 164)"
heliobeltrao,"rgb(72, 181, 143)"
AsgardianaB38,"rgb(53, 182, 125)"
capitaoderrite,"rgb(66, 181, 137)"
ebcnarede,"rgb(184, 160, 194)"
zeca_dirceu,"rgb(227, 134, 152)"
antonioprata,"rgb(208, 145, 170)"
marcelloneves72,"rgb(54, 182, 125)"
millylacombe,"rgb(229, 132, 150)"
eduardobarao,"rgb(160, 175, 217)"
paulocruzphi,"rgb(85, 181, 154)"
fabiowoficial,"rgb(69, 181, 139)"
costa_rui,"rgb(210, 144, 168)"
spartakusvlog,"rgb(235, 129, 145)"
lnarloch,"rgb(87, 180, 157)"
josiasteofilo,"rgb(58, 181, 129)"
lasiermartins,"rgb(83, 181, 153)"
mjmacul_lima,"rgb(57, 182, 128)"
JMarcelo1000,"rgb(90, 180, 159)"
franciscomacsoa,"rgb(54, 182, 126)"
EduardoLeite_,"rgb(157, 177, 219)"
musaraujo,"rgb(238, 127, 141)"
mariomagalhaes_,"rgb(222, 137, 157)"
Ilisp_org,"rgb(84, 181, 154)"
LeticiaCatel,"rgb(60, 181, 131)"
TMaranhao,"rgb(182, 161, 195)"
ptnacional,"rgb(222, 137, 157)"
Fernuf91,"rgb(55, 182, 127)"
EduPrimitivo,"rgb(98, 180, 167)"
kellymenegas,"rgb(67, 181, 137)"
FatosEsquerda,"rgb(68, 181, 138)"
EsporteGovBR,"rgb(161, 174, 216)"
jaqueswagner,"rgb(217, 140, 162)"
marcosdoval,"rgb(76, 181, 146)"
jnascim,"rgb(220, 138, 159)"
cafecomferri,"rgb(99, 180, 168)"
FministaCansada,"rgb(239, 126, 141)"
RHPozzobon,"rgb(84, 181, 154)"
CmdoCMA,"rgb(87, 180, 156)"
cortininhas,"rgb(60, 181, 131)"
leonardocb11,"rgb(54, 182, 125)"
KendraChihaya,"rgb(56, 182, 127)"
mmarescast,"rgb(237, 128, 143)"
SPD_33,"rgb(64, 181, 135)"
apyus,"rgb(178, 164, 199)"
EderMauroPA,"rgb(60, 181, 131)"
revoltadoonline,"rgb(85, 180, 155)"
cinefilo_K,"rgb(236, 128, 144)"
marisa_lobo,"rgb(89, 180, 158)"
38CarlaValente_,"rgb(57, 181, 129)"
rosaneoliveira,"rgb(172, 167, 205)"
MDB_Nacional,"rgb(162, 173, 214)"
TesouroNacional,"rgb(140, 179, 206)"
Pragmatismo_,"rgb(234, 130, 146)"
Edgard_Piccoli,"rgb(177, 165, 200)"
NayaraFelizardo,"rgb(228, 133, 151)"
octavio_guedes,"rgb(180, 163, 197)"
blogfeministas,"rgb(240, 126, 140)"
UNBORNness,"rgb(70, 181, 140)"
Valdecirdelecl1,"rgb(51, 182, 123)"
brpolitico,"rgb(157, 177, 219)"
ValdoCruz,"rgb(157, 177, 219)"
GiseleDaminell2,"rgb(57, 181, 129)"
JornalGGN,"rgb(232, 131, 148)"
EmbraturNews,"rgb(160, 175, 216)"
deborabaldin_,"rgb(245, 123, 135)"
MCrivella,"rgb(134, 179, 201)"
taiguara_sousa,"rgb(55, 182, 126)"
taupeisha,"rgb(50, 182, 121)"
manuelkobel,"rgb(70, 181, 140)"
Fabi_Moller_,"rgb(60, 181, 131)"
CmdoCMS,"rgb(82, 181, 152)"
joaovitorxavier,"rgb(139, 179, 206)"
belacor_azul,"rgb(56, 182, 127)"
fatimabezerra,"rgb(216, 140, 163)"
msantoro1978,"rgb(212, 143, 166)"
marciolabre,"rgb(60, 181, 131)"
lucasberti,"rgb(217, 140, 162)"
ricardosetti,"rgb(127, 179, 195)"
DilmaResiste,"rgb(234, 129, 145)"
maikonkremer,"rgb(230, 132, 149)"
MarceloLins68,"rgb(186, 159, 192)"
rafaelcapanema,"rgb(217, 140, 161)"
atarde,"rgb(179, 163, 198)"
MarcioPochmann,"rgb(228, 133, 151)"
fabiofaria5555,"rgb(98, 180, 168)"
cabojunioamaral,"rgb(62, 181, 133)"
fiocruz,"rgb(188, 158, 190)"
AttuchLeonardo,"rgb(233, 130, 147)"
r_nog,"rgb(53, 182, 125)"
renatasouzario,"rgb(234, 130, 146)"
SergioCabralRJ,"rgb(174, 167, 203)"
RogerioCorreia_,"rgb(232, 131, 147)"
pauloganime,"rgb(89, 180, 158)"
TaclaDuran,"rgb(228, 133, 151)"
pejoseduardo,"rgb(64, 181, 135)"
madeleinelacsko,"rgb(148, 178, 214)"
wadih_damous,"rgb(230, 132, 149)"
OtoniDepFederal,"rgb(65, 181, 136)"
mariellefranco,"rgb(232, 131, 148)"
revistaoeste,"rgb(66, 181, 137)"
obsclima,"rgb(212, 143, 166)"
AndreiKampff,"rgb(163, 173, 213)"
Reguffe,"rgb(119, 179, 187)"
NAS_RUAS,"rgb(72, 181, 142)"
UOLPolitica,"rgb(170, 168, 206)"
Alanghani,"rgb(63, 181, 134)"
agendarep,"rgb(84, 181, 154)"
GLCampos_,"rgb(59, 181, 130)"
AndrewDFish,"rgb(227, 134, 152)"
pmoreiraleite,"rgb(223, 136, 156)"
jpcharleaux,"rgb(216, 140, 163)"
natbonavides,"rgb(236, 129, 144)"
Milla_Ofc17,"rgb(53, 182, 124)"
JoselitoMuller3,"rgb(84, 181, 154)"
EuSouLivres,"rgb(132, 179, 199)"
JFMargarida,"rgb(234, 130, 146)"
AnatelGovBR,"rgb(157, 177, 220)"
portalvermelho,"rgb(236, 128, 144)"
rafaelmmartins,"rgb(225, 135, 154)"
revolushow,"rgb(241, 125, 139)"
zoemartinez_05,"rgb(55, 182, 127)"
Collor,"rgb(153, 178, 219)"
HenriqueFontana,"rgb(225, 135, 155)"
HelioTelho,"rgb(109, 180, 178)"
turquim5,"rgb(234, 129, 145)"
AleYoussef,"rgb(208, 145, 170)"
Anastasia,"rgb(130, 179, 198)"
PDT_Nacional,"rgb(202, 149, 176)"
alefrota77,"rgb(181, 162, 197)"
maragabrilli,"rgb(125, 179, 193)"
Funarte,"rgb(203, 149, 175)"
camila_abdo,"rgb(52, 182, 124)"
Sisispsp,"rgb(56, 182, 127)"
goescarlos,"rgb(155, 178, 221)"
CamiloSantanaCE,"rgb(204, 148, 174)"
mdregional_br,"rgb(108, 180, 177)"
rodrigogurgel,"rgb(66, 181, 137)"
PastorLiomar,"rgb(60, 181, 131)"
brandao_suzana,"rgb(51, 182, 122)"
DonaReginaa,"rgb(52, 182, 123)"
patibaroli,"rgb(55, 182, 126)"
paulacamara_,"rgb(72, 181, 143)"
afrorevolt,"rgb(238, 127, 142)"
VladimirAras,"rgb(130, 179, 198)"
marcobellojr,"rgb(171, 168, 206)"
senadorcidgomes,"rgb(189, 157, 189)"
calubarros13,"rgb(238, 127, 141)"
rogerchequer,"rgb(94, 180, 163)"
bobjackk,"rgb(235, 129, 144)"
Pattyy_Ribeiro,"rgb(57, 182, 128)"
Haddad_Femando,"rgb(240, 126, 140)"
JJVieira6,"rgb(51, 182, 123)"
_Leitadas_Loen,"rgb(51, 182, 122)"
P_droMenezes,"rgb(149, 178, 216)"
martasuplicy_,"rgb(193, 155, 185)"
rogercipo,"rgb(229, 132, 150)"
FelipePedri,"rgb(56, 182, 128)"
mah13MC,"rgb(235, 129, 145)"
gen_paulosergio,"rgb(80, 181, 150)"
helderbarbalho,"rgb(177, 164, 200)"
silviogrimaldo,"rgb(51, 182, 123)"
maepatriota,"rgb(58, 181, 129)"
Arthurvneto,"rgb(155, 178, 221)"
PanichiRaphael,"rgb(73, 181, 144)"
Maufalavigna,"rgb(243, 124, 137)"
BlogNegras,"rgb(239, 127, 141)"
infraero,"rgb(140, 179, 207)"
RodZeidan,"rgb(191, 156, 186)"
JoaquinTex,"rgb(59, 181, 130)"
MudaMais,"rgb(236, 129, 144)"
guimaraes13PT,"rgb(224, 136, 155)"
JQTEIXElRA,"rgb(73, 181, 143)"
88gaels,"rgb(53, 182, 124)"
ContaratoSenado,"rgb(191, 156, 187)"
bela_reis,"rgb(232, 131, 148)"
carlossampaio_,"rgb(115, 179, 183)"
CesarGleyton,"rgb(50, 182, 122)"
HumbertoReisJr,"rgb(69, 181, 140)"
CmdoCMO,"rgb(82, 181, 152)"
Leonardomequi1,"rgb(53, 182, 125)"
Oficialluizlima,"rgb(64, 181, 135)"
elenalandau,"rgb(153, 178, 219)"
pharaujo85,"rgb(52, 182, 123)"
ToniBulhoes,"rgb(235, 129, 145)"
H1SaiaDaMatrix,"rgb(238, 127, 142)"
Mises_Brasil,"rgb(77, 181, 147)"
Drica_Patriota,"rgb(57, 182, 128)"
CorreiosBR,"rgb(159, 175, 217)"
CmdoCML,"rgb(84, 181, 154)"
guilherme_amado,"rgb(188, 158, 189)"
ricardoberzoini,"rgb(220, 138, 159)"
sgovpr,"rgb(114, 179, 182)"
marchezan_,"rgb(145, 178, 212)"
Danielhrs,"rgb(178, 164, 199)"
PauloBriguet,"rgb(53, 182, 124)"
UJSBRASIL,"rgb(230, 132, 149)"
SamuelSilvaFB,"rgb(241, 125, 139)"
brunagarcia_be,"rgb(54, 182, 125)"
ToniettoChris,"rgb(55, 182, 126)"
maria_fro,"rgb(235, 129, 145)"
tbaghdadi,"rgb(210, 144, 169)"
LucasdeAragao,"rgb(114, 179, 182)"
caleromarcelo,"rgb(166, 171, 210)"
orlandosilva,"rgb(220, 138, 159)"
cafecomkremlin,"rgb(207, 146, 172)"
brunocovas,"rgb(150, 178, 217)"
A_Flavinha_A,"rgb(57, 182, 128)"
PSBNacional40,"rgb(184, 160, 194)"
Sincero_Stalin,"rgb(52, 182, 123)"
embrapa,"rgb(133, 179, 200)"
JaniceAscari,"rgb(140, 179, 207)"
RubensNunesMBL,"rgb(82, 181, 152)"
AroldeOliveira,"rgb(92, 180, 162)"
ubesoficial,"rgb(227, 134, 152)"
lilian_tahan,"rgb(170, 169, 206)"
PescotapaDiario,"rgb(236, 128, 143)"
fernandokallas,"rgb(172, 167, 205)"
bolsonar0sempre,"rgb(54, 182, 125)"
tecomedina,"rgb(147, 178, 213)"
MariliaArraes,"rgb(229, 133, 150)"
Rgood68,"rgb(51, 182, 123)"
Sen_Alessandro,"rgb(108, 180, 177)"
NemFudendo7,"rgb(50, 182, 122)"
Mapa_Brasil,"rgb(94, 180, 163)"
ANPgovbr,"rgb(158, 176, 218)"
BohnGass,"rgb(231, 131, 148)"
VICENTINHOPT,"rgb(227, 134, 152)"
TiagoMitraud,"rgb(108, 180, 177)"
concei05,"rgb(51, 182, 123)"
ptbrasiI,"rgb(237, 127, 142)"
celsorussomanno,"rgb(150, 178, 216)"
democratas,"rgb(153, 178, 220)"
aldorebelo,"rgb(193, 154, 184)"
gospelprime,"rgb(109, 180, 177)"
apellegrino,"rgb(231, 132, 149)"
laurietecantora,"rgb(114, 179, 182)"
InstLiberal,"rgb(84, 181, 154)"
filipetrielli,"rgb(50, 182, 122)"
cmse_exercito,"rgb(81, 181, 151)"
AvenaComVc,"rgb(76, 181, 146)"
pablo_ortellado,"rgb(214, 142, 165)"
profeborto,"rgb(89, 180, 159)"
pauloeneas,"rgb(53, 182, 124)"
EnioMainardi,"rgb(60, 181, 131)"
enioverri,"rgb(229, 133, 150)"
Finep,"rgb(176, 165, 201)"
anavilarinol,"rgb(242, 125, 138)"
WRosarioCGU,"rgb(68, 181, 139)"
romerojuca,"rgb(157, 177, 219)"
GabbardoJoao,"rgb(147, 178, 213)"
drmarllao,"rgb(50, 182, 121)"
cosmemarcelo,"rgb(161, 174, 215)"
aruthcao,"rgb(66, 181, 137)"
contracorrentes,"rgb(238, 127, 142)"
Flordelismk,"rgb(130, 179, 197)"
stedile_mst,"rgb(240, 126, 140)"
DeniseCToledo8,"rgb(112, 180, 180)"
MonicaFPsol,"rgb(237, 128, 143)"
marinarossi,"rgb(220, 138, 159)"
juliacgc,"rgb(166, 171, 211)"
deppimentel,"rgb(85, 181, 155)"
Marceloalvaroan,"rgb(74, 181, 144)"
ThomasVConti,"rgb(180, 163, 197)"
CarlosZarattini,"rgb(227, 134, 153)"
casaruibarbosa,"rgb(186, 159, 191)"
brunoboghossian,"rgb(188, 158, 189)"
ayres_britto,"rgb(160, 175, 216)"
SmayMachado1,"rgb(51, 182, 122)"
AlexBRfour,"rgb(52, 182, 124)"
educardinal,"rgb(56, 182, 127)"
pedfig,"rgb(202, 149, 176)"
lidicedamata,"rgb(210, 144, 169)"
marciofrancasp,"rgb(173, 167, 204)"
EuDouglasBr,"rgb(54, 182, 125)"
helenachagas,"rgb(198, 151, 180)"
tvsenado,"rgb(171, 168, 206)"
carlosaviana,"rgb(112, 180, 180)"
DanielCoelho23,"rgb(116, 179, 184)"
glaubermacario,"rgb(227, 134, 152)"
nelsonhbarbosa,"rgb(215, 141, 163)"
SAIRDomBertrand,"rgb(54, 182, 126)"
BrunoEnglerDM,"rgb(58, 181, 129)"
igornatusch,"rgb(228, 133, 151)"
depwagnermontes,"rgb(160, 175, 216)"
jeffs_araujo35,"rgb(67, 181, 138)"
cesarmaia,"rgb(163, 173, 213)"
AFS_Andrada,"rgb(219, 139, 160)"
ALuizCosta,"rgb(235, 129, 145)"
joaoborges,"rgb(144, 178, 210)"
mendoncafilho,"rgb(130, 179, 198)"
rosa_riscala,"rgb(134, 179, 201)"
revistaazmina,"rgb(238, 127, 142)"
cadefeministas,"rgb(241, 125, 139)"
ThalesBH38,"rgb(49, 182, 121)"
canalCCore2,"rgb(51, 182, 123)"
vieneinpace,"rgb(231, 131, 148)"
AlineSleutjes,"rgb(63, 181, 134)"
tiamaoficial,"rgb(227, 134, 152)"
ratinho_jr,"rgb(112, 180, 181)"
fabiolacidral,"rgb(166, 171, 211)"
realrcoutinho,"rgb(181, 162, 196)"
_thalesnogueira,"rgb(211, 144, 168)"
andreawerner_,"rgb(226, 135, 153)"
heldersalomao,"rgb(231, 131, 148)"
annavirginia,"rgb(209, 145, 169)"
Boni_z,"rgb(50, 182, 122)"
IsaPennaPsol,"rgb(231, 131, 149)"
da_direita,"rgb(49, 182, 121)"
conradohubner,"rgb(211, 143, 167)"
rafapsoares,"rgb(216, 141, 163)"
jlbraga,"rgb(113, 180, 181)"
GenSantosCruz,"rgb(138, 179, 204)"
eumesmavivi0,"rgb(54, 182, 126)"
luciaguimaraes,"rgb(186, 159, 192)"
josefortunati,"rgb(173, 167, 204)"
EdmilsonPSOL,"rgb(224, 135, 155)"
Trensurb,"rgb(172, 168, 205)"
bemvindo_ator,"rgb(236, 128, 144)"
SenadoraSelma,"rgb(79, 181, 149)"
drunkeynesian,"rgb(170, 169, 207)"
SergiusAugustus,"rgb(218, 139, 161)"
MatiasSpektor,"rgb(202, 149, 176)"
traumann,"rgb(193, 155, 185)"
dataprev,"rgb(158, 176, 218)"
Casagrande_ES,"rgb(173, 167, 204)"
JulianaBrizola,"rgb(211, 143, 167)"
AndreaMatarazzo,"rgb(157, 177, 219)"
erosbiondini,"rgb(134, 179, 201)"
pizzolatto,"rgb(50, 182, 122)"
gustavofruet,"rgb(170, 169, 207)"
DepSanderson,"rgb(66, 181, 137)"
fpabramo,"rgb(239, 127, 141)"
mcfernandes,"rgb(199, 151, 179)"
CoronelTadeu,"rgb(71, 181, 141)"
levyfidelix,"rgb(118, 179, 186)"
lmonasterio,"rgb(155, 178, 221)"
ricksenra,"rgb(205, 147, 174)"
gurovitz,"rgb(156, 178, 220)"
emiliomoreno,"rgb(222, 137, 157)"
anaclaracosta,"rgb(181, 162, 196)"
ReginaldoLopes,"rgb(228, 133, 151)"
FabioClickTime,"rgb(48, 182, 120)"
SGPresidencia,"rgb(74, 181, 145)"
BelaMegale,"rgb(178, 164, 199)"
AlexisFonteyne,"rgb(92, 180, 161)"
FelipeAbal,"rgb(237, 128, 143)"
DepSostenes,"rgb(95, 180, 165)"
REDE_18,"rgb(186, 159, 192)"
OMercadoPopular,"rgb(142, 178, 209)"
biraiorio,"rgb(61, 181, 132)"
SenadorHeinze,"rgb(94, 180, 163)"
lcmbarros,"rgb(123, 179, 191)"
levantepopular,"rgb(241, 125, 139)"
Alice_Portugal,"rgb(222, 137, 157)"
depjorgesolla,"rgb(231, 131, 149)"
foradoeixo,"rgb(222, 137, 157)"
ErickRianelli,"rgb(206, 147, 173)"
utsch,"rgb(183, 161, 195)"
dorritharazim,"rgb(199, 151, 179)"
ANAgovbr,"rgb(167, 170, 209)"
PalmaresGovBr,"rgb(208, 145, 170)"
Eunicio,"rgb(162, 174, 214)"
AncineGovBr,"rgb(198, 152, 180)"
ANTT_oficial,"rgb(106, 180, 175)"
FelipeSalto,"rgb(170, 169, 207)"
PCBpartidao,"rgb(239, 126, 141)"
CarlosMoises,"rgb(139, 179, 206)"
CCambara2,"rgb(238, 127, 142)"
strauss_real,"rgb(170, 169, 207)"
pimentelminas,"rgb(205, 147, 173)"
ASachsida,"rgb(74, 181, 145)"
ThiagoGdeAragao,"rgb(118, 179, 186)"
canalmeio,"rgb(195, 153, 183)"
HeitorFreireCE,"rgb(69, 181, 140)"
andrearoeirap,"rgb(214, 142, 165)"
rigoni_felipe,"rgb(160, 175, 217)"
HBjornalista,"rgb(221, 138, 158)"
Eletrobras,"rgb(169, 170, 208)"
kelpslimaRN,"rgb(165, 172, 212)"
pedrolrossi,"rgb(225, 135, 154)"
Raul_Jungmann,"rgb(151, 178, 217)"
DerMagno,"rgb(156, 177, 220)"
VictorFerreira,"rgb(191, 156, 187)"
DFDanielFreitas,"rgb(62, 181, 133)"
nomelouco37,"rgb(238, 127, 142)"
tiriricanaweb,"rgb(144, 178, 211)"
gtinocolh,"rgb(165, 172, 211)"
cbaraodeitarare,"rgb(243, 124, 137)"
cassiagodoy,"rgb(160, 175, 216)"
EliseuPadilha,"rgb(149, 178, 215)"
DraManato,"rgb(68, 181, 139)"
ativismodesofa,"rgb(242, 125, 138)"
claudferraz,"rgb(192, 155, 186)"
paulambelmonte,"rgb(75, 181, 145)"
WRochaAssis,"rgb(221, 137, 158)"
BrunoCarazza,"rgb(174, 166, 202)"
adrianasounovo,"rgb(96, 180, 165)"
Teresa_Surita,"rgb(127, 179, 195)"
luizfalvesjr,"rgb(118, 179, 186)"
aassibarreto,"rgb(50, 182, 122)"
partidoverde,"rgb(179, 164, 199)"
leiladovolei,"rgb(115, 179, 183)"
vtorresfreire,"rgb(190, 156, 187)"
KatiaSastre,"rgb(67, 181, 137)"
Patrus_Ananias,"rgb(234, 130, 146)"
DanielCara,"rgb(230, 132, 149)"
joaofellet,"rgb(213, 142, 165)"
yashagallazzi,"rgb(100, 180, 169)"
GuyFranco,"rgb(140, 179, 207)"
Sen_Oriovisto,"rgb(89, 180, 158)"
SamPancher,"rgb(164, 173, 213)"
perpetua_acre,"rgb(224, 136, 155)"
pedromeletti,"rgb(194, 154, 183)"
renato_battista,"rgb(87, 180, 156)"
coalacroata,"rgb(241, 125, 139)"
viniciussexto,"rgb(54, 182, 125)"
BresserPereira,"rgb(222, 137, 157)"
leosiqueirabr,"rgb(128, 179, 196)"
joaocapi,"rgb(188, 158, 189)"
EduGiraoOficial,"rgb(84, 181, 153)"
Frases_RCampos,"rgb(103, 180, 171)"
barbaralobato,"rgb(166, 171, 210)"
GeanLoureiro,"rgb(165, 172, 212)"
AlonFe,"rgb(187, 158, 191)"
tassojereissati,"rgb(137, 179, 204)"
SenStyvenson,"rgb(90, 180, 160)"
VicenteSantini,"rgb(61, 181, 132)"
Olhar_Olimpico,"rgb(203, 149, 176)"
linobocchini,"rgb(235, 129, 144)"
uczai,"rgb(235, 129, 145)"
anacarla_abrao,"rgb(147, 178, 214)"
marcus_pestana,"rgb(131, 179, 198)"
rvitoria,"rgb(130, 179, 197)"
AfonsoFlorence,"rgb(228, 133, 152)"
efraimfilho,"rgb(151, 178, 217)"
JamesGBrasil,"rgb(110, 180, 178)"
GenPeternelli,"rgb(76, 181, 146)"
marciojerry,"rgb(209, 145, 169)"
Funasa,"rgb(173, 167, 203)"
RafaelGreca_,"rgb(154, 178, 220)"
SERPRO,"rgb(164, 173, 212)"
EduardoBraga_AM,"rgb(159, 176, 217)"
leomotta_ofc,"rgb(59, 181, 130)"
fbezerracoelho,"rgb(161, 174, 215)"
miltontemer,"rgb(226, 135, 153)"
tomfm_,"rgb(53, 182, 124)"
esperidiaoamin_,"rgb(117, 179, 185)"
Eymaeloficial,"rgb(153, 178, 219)"
MoreiraFranco,"rgb(156, 177, 220)"
rubenspereirajr,"rgb(204, 148, 174)"
CarlosLupiPDT,"rgb(217, 140, 162)"
pstu,"rgb(224, 136, 156)"
LuizianneLinsPT,"rgb(236, 129, 144)"
luizmarinhopt,"rgb(236, 128, 144)"
renatoroseno,"rgb(220, 138, 159)"
MiTrombelli,"rgb(164, 173, 213)"
generonumero,"rgb(233, 130, 147)"
jose_anibal,"rgb(145, 178, 212)"
DepSheridan,"rgb(130, 179, 197)"
mlfattorelli,"rgb(232, 131, 148)"
23rubensbueno,"rgb(126, 179, 194)"
senadorpaulor,"rgb(208, 145, 170)"
andrecaramante,"rgb(220, 138, 158)"
marceloramosam,"rgb(153, 178, 219)"
jilmartatto,"rgb(231, 131, 148)"
CentralSindical,"rgb(183, 161, 194)"
gilsonmarques30,"rgb(95, 180, 164)"
PabloCapile,"rgb(229, 133, 150)"
CFreitasR,"rgb(52, 182, 124)"
SenadorRogerio,"rgb(213, 142, 165)"
yurivs,"rgb(58, 181, 129)"
paulouebel,"rgb(85, 181, 154)"
passelivre_sp,"rgb(237, 128, 143)"
Radar_Politico_,"rgb(69, 181, 139)"
jorgeseif,"rgb(64, 181, 135)"
GeraldoJulioPSB,"rgb(171, 168, 205)"
IbaneisOficial,"rgb(152, 178, 218)"
ottoalencar,"rgb(171, 168, 206)"
dannielduque,"rgb(175, 166, 202)"
jeronimogoergen,"rgb(121, 179, 189)"
RicardoRoveran,"rgb(49, 182, 121)"
EconomiaSepec,"rgb(125, 179, 193)"
mineiroptrn,"rgb(204, 148, 174)"
dcohen104,"rgb(106, 180, 174)"
lucasvgonzalez,"rgb(98, 180, 167)"
MPT_PGT,"rgb(176, 165, 201)"
alencaramatos,"rgb(58, 181, 129)"
dep_padrejoao,"rgb(234, 130, 146)"
RenanFilho_,"rgb(177, 165, 200)"
deputadopeninha,"rgb(87, 180, 157)"
mamollica,"rgb(113, 180, 181)"
furnas,"rgb(171, 168, 205)"
da_cia,"rgb(90, 180, 159)"
russianbotbr,"rgb(46, 182, 118)"
SigaRoberto_,"rgb(130, 179, 198)"
ToffolettoCatia,"rgb(165, 172, 212)"
PauloCamara40,"rgb(186, 159, 191)"
ivan,"rgb(231, 132, 149)"
chico_dangelo,"rgb(228, 133, 152)"
rpsenador,"rgb(102, 180, 171)"
robsonboninjor,"rgb(161, 174, 216)"
Eduardo_Cury,"rgb(103, 180, 172)"
vortexmediabr,"rgb(183, 161, 194)"
Brubas,"rgb(51, 182, 122)"
jader_barbalho,"rgb(164, 172, 212)"
PauloTafner,"rgb(131, 179, 198)"
RenanPeixoto_,"rgb(193, 155, 185)"
Everaldo_20,"rgb(126, 179, 193)"
PlinioValerio45,"rgb(91, 180, 160)"
elizianegama,"rgb(167, 170, 209)"
CmdoCMP,"rgb(81, 181, 151)"
CamiloPSB,"rgb(181, 162, 197)"
dep_clarissa,"rgb(165, 172, 212)"
achinaglia,"rgb(224, 136, 156)"
Luciano_Cartaxo,"rgb(173, 167, 203)"
wevertonrocha,"rgb(188, 158, 189)"
PompeodeMattos,"rgb(194, 154, 184)"
andrepdt12,"rgb(200, 150, 178)"
harvardchick,"rgb(202, 149, 176)"
Joao_P_Romero,"rgb(216, 141, 163)"
nelsonpelegrino,"rgb(217, 140, 162)"
JoeniaWapichana,"rgb(225, 135, 154)"
samuelmoreira,"rgb(125, 179, 192)"
jorginhomello,"rgb(107, 180, 176)"
AlencarBraga13,"rgb(237, 128, 143)"
cicerolucena,"rgb(165, 172, 211)"
_luizdocarmo,"rgb(76, 181, 146)"
VPCRelator,"rgb(118, 179, 186)"
wdiaspi,"rgb(198, 152, 180)"
dep_paulinho,"rgb(173, 167, 203)"
firmino_filho,"rgb(174, 166, 203)"
DuarteJr_,"rgb(185, 160, 193)"
CmdoCMN1,"rgb(75, 181, 145)"
guilherme_afif,"rgb(155, 178, 221)"
venezianovital,"rgb(170, 169, 207)"
senadorjean,"rgb(200, 150, 178)"
csjt_oficial,"rgb(166, 171, 210)"
AlexManente23,"rgb(101, 180, 170)"
A_Mastrocinque,"rgb(112, 180, 180)"
passapalavra,"rgb(237, 128, 143)"
andregordon73,"rgb(89, 180, 158)"
manoeljunior,"rgb(168, 170, 209)"
dinho_2010,"rgb(48, 182, 119)"
prof_rosaneide,"rgb(238, 127, 142)"
soudaniella111,"rgb(151, 178, 217)"
EPE_Brasil,"rgb(171, 168, 205)"
Heitor_Ferrer,"rgb(177, 164, 200)"
marciombittar,"rgb(78, 181, 148)"
senadorpetecao,"rgb(139, 179, 206)"
Vanderlan_VC,"rgb(120, 179, 188)"
FilipeMenezes31,"rgb(50, 182, 122)"
Gusgayer,"rgb(56, 182, 127)"
Daniel_PCdoB,"rgb(216, 140, 163)"
EnapGovBr,"rgb(159, 175, 217)"
IzalciLucas,"rgb(112, 180, 180)"
Adriana_Accorsi,"rgb(225, 135, 155)"
RRytenband,"rgb(107, 180, 175)"
depmarcelonilo,"rgb(196, 153, 182)"
EHolandaJr,"rgb(186, 159, 192)"
walteralvesrn,"rgb(162, 174, 215)"
delmartharocha,"rgb(202, 149, 177)"
capitaoassumcao,"rgb(107, 180, 175)"
gioschpe,"rgb(158, 176, 218)"
ciro_nogueira,"rgb(162, 174, 215)"
pedro_lupion,"rgb(93, 180, 162)"
HermanoMorais,"rgb(162, 174, 214)"
felipecarreras,"rgb(163, 173, 214)"
PatriciaLFerraz,"rgb(78, 181, 149)"
NiltoTatto,"rgb(234, 129, 145)"
depleomonteiro,"rgb(231, 131, 148)"
joaoderly,"rgb(165, 172, 211)"
ArnsFlavio,"rgb(104, 180, 173)"
depmarcon,"rgb(228, 133, 152)"
zemaria_pstu,"rgb(219, 138, 159)"
ValadaresPSB,"rgb(177, 164, 200)"
f_trad,"rgb(170, 169, 207)"
ruipalmeira,"rgb(162, 174, 214)"
BiradoPindare,"rgb(194, 154, 183)"
LenildaLuna,"rgb(225, 135, 154)"
darioberger,"rgb(110, 180, 179)"
darcisioperondi,"rgb(146, 178, 212)"
LucianoRezende,"rgb(170, 169, 207)"
JulianLemosopb1,"rgb(98, 180, 167)"
Alceu_Moreira,"rgb(141, 179, 208)"
STM_Oficial,"rgb(104, 180, 172)"
pedroocl,"rgb(139, 179, 205)"
humorphobe,"rgb(82, 181, 152)"
NA,"rgb(192, 156, 186)"
capitao_wagner,"rgb(93, 180, 163)"
marcospereira04,"rgb(148, 178, 214)"
joao_arruda,"rgb(175, 166, 202)"
oliviasantana65,"rgb(223, 136, 156)"
RodrigoCunhaAL,"rgb(142, 178, 208)"
paulaodopt,"rgb(232, 131, 148)"
CJF_oficial,"rgb(154, 178, 220)"
